时间(s),X坐标(m),Y坐标(m)
786.4753250000462,4.202143931819284,3.3260649742493884
786.5753250000462,4.1997632467448245,3.3318274955923757
786.6753250000462,4.1973709196233795,3.3375855182165712
786.7753250000462,4.194966958931171,3.343339018603959
786.8753250000462,4.19255137317947,3.3490879732482997
786.9753250000463,4.19012417094778,3.354832358666343
787.0753250000463,4.187685360839218,3.3605721513827973
787.1753250000463,4.185234951525208,3.3663073279457394
787.2753250000463,4.182772951711895,3.372037864915159
787.3753250000464,4.180299370154993,3.3777637388681407
787.4753250000464,4.177814215663609,3.383484926400448
787.5753250000464,4.175317497085008,3.3892014041210676
787.6753250000464,4.172809223319931,3.3949131486579884
787.7753250000465,4.170289403318321,3.4006201366565456
787.8753250000465,4.167758046064943,3.406322344774561
787.9753250000465,4.165215160612361,3.412019749694214
788.0753250000465,4.162660756036594,3.4177123281061172
788.1753250000465,4.160094841481522,3.423400056725632
788.2753250000466,4.15751742612551,3.429082912280729
788.3753250000466,4.154928519196167,3.4347608715174704
788.4753250000466,4.152328129974136,3.4404339112016786
788.5753250000466,4.149716267777961,3.4461020081131704
788.6753250000467,4.147092941979298,3.4517651390518385
788.7753250000467,4.144458161998666,3.4574232808359127
788.8753250000467,4.141811937291168,3.463076410296809
788.9753250000467,4.139154277379239,3.468724504291669
789.0753250000467,4.13648519180861,3.474367539686545
789.1753250000468,4.133804690192385,3.480005493373598
789.2753250000468,4.131112782177908,3.485638342258297
789.3753250000468,4.128409477461432,3.491266063265198
789.4753250000468,4.125694785791854,3.4968886333396876
789.5753250000469,4.1229687169557,3.5025060294419066
789.6753250000469,4.12023128079222,3.5081182285531396
789.7753250000469,4.11748248718918,3.5137252076739918
789.8753250000469,4.114722346068671,3.519326943818955
789.975325000047,4.111950867419612,3.5249234140296086
790.075325000047,4.109168061254049,3.5305145953569115
790.175325000047,4.106373937650902,3.536100464879289
790.275325000047,4.103568506723079,3.5416809996891607
790.375325000047,4.100751778632006,3.547256176899017
790.4753250000471,4.0979237635913615,3.552825973643242
790.5753250000471,4.09508447185217,3.5583903670717394
790.6753250000471,4.092233913717773,3.563949334356618
790.7753250000471,4.089372099539651,3.5695028526902854
790.8753250000472,4.086499039703339,3.5750508992797227
790.9753250000472,4.083614744660672,3.580593451360347
791.0753250000472,4.080719224886428,3.58613048617742
791.1753250000472,4.077812490921735,3.591661981005026
791.2753250000472,4.074894553341438,3.5971879131319273
791.3753250000473,4.071965422768512,3.6027082598679367
791.4753250000473,4.06902510987775,3.608222998545807
791.5753250000473,4.066073625380998,3.613732106514563
791.6753250000473,4.06311098004198,3.6192355611464935
791.7753250000474,4.0601371846721745,3.624733339835161
791.8753250000474,4.057152250116826,3.6302254199893884
791.9753250000474,4.054156187286934,3.635711779047772
792.0753250000474,4.051149007116248,3.6411923944592157
792.1753250000475,4.048130720604297,3.646667243702774
792.2753250000475,4.045101338784044,3.6521363042728634
792.3753250000475,4.0420608727361795,3.65759955368593
792.4753250000475,4.039009333592773,3.663056969482405
792.5753250000475,4.035946732522623,3.668508529219735
792.6753250000476,4.032873080745958,3.6739542104796747
792.7753250000476,4.0297883895303315,3.679393990866216
792.8753250000476,4.0266926701767805,3.6848278479992977
792.9753250000476,4.023585934051515,3.6902557595299577
793.0753250000477,4.020468192543298,3.69567770312
793.1753250000477,4.017339457106084,3.7010936564627075
793.2753250000477,4.014199739226957,3.7065035972673988
793.3753250000477,4.011049050440308,3.7119075032663775
793.4753250000477,4.0078874023314395,3.7173053522169743
793.5753250000478,4.004714806522042,3.722697121894285
793.6753250000478,4.001531274684763,3.7280827900987514
793.7753250000478,3.9983368185391557,3.7334623346539964
793.8753250000478,3.9951314498379427,3.73883573340027
793.9753250000479,3.9919151803984043,3.7442029642102352
